school,student_id,sex,age,address,absences,subject_1,subject_2,subject_3
GP,STD1,F,18,U,4,0,11,11
GP,STD2,F,17,U,2,9,11,11
GP,STD3,F,15,U,6,12,13,12
GP,STD4,F,15,U,0,14,14,14
GP,STD5,F,16,U,0,11,13,13
GP,STD6,M,16,U,6,12,12,13
GP,STD7,M,16,U,0,13,12,13
GP,STD8,F,17,U,2,10,13,13
GP,STD9,M,15,U,0,15,16,17
GP,STD10,M,15,U,0,12,12,13
GP,STD11,F,15,U,2,14,14,14
GP,STD12,F,15,U,0,10,12,13
GP,STD13,M,15,U,0,12,13,12
GP,STD14,M,15,U,0,12,12,13
GP,STD15,M,15,U,0,14,14,15
GP,STD16,F,16,U,6,17,17,17
GP,STD17,F,16,U,10,13,13,14
GP,STD18,F,16,U,2,13,14,14
GP,STD19,M,17,U,2,8,8,7
GP,STD20,M,16,U,6,12,12,12
GP,STD21,M,15,U,0,12,13,14
GP,STD22,M,15,U,0,11,12,12
GP,STD23,M,16,U,0,12,13,14
GP,STD24,M,16,U,2,10,10,10
GP,STD25,F,15,R,2,10,11,10
GP,STD26,F,16,U,6,10,11,12
GP,STD27,M,15,U,8,11,12,12
GP,STD28,M,15,U,0,11,11,11
GP,STD29,M,16,U,2,12,12,13
GP,STD30,M,16,U,4,12,11,12
GP,STD31,M,15,U,0,10,11,11
GP,STD32,M,15,U,2,15,15,15
GP,STD33,M,15,R,0,13,14,15
GP,STD34,M,15,U,0,13,12,12
GP,STD35,M,16,U,4,12,12,12
GP,STD36,F,15,U,4,11,11,11
GP,STD37,M,15,U,0,14,14,14
GP,STD38,M,16,R,4,13,13,13
GP,STD39,F,15,R,2,11,12,12
GP,STD40,F,15,R,8,14,13,12
GP,STD41,F,16,U,16,11,11,10
GP,STD42,M,15,U,8,10,11,11
GP,STD43,M,15,U,0,14,15,15
GP,STD44,M,15,U,0,9,10,10
GP,STD45,F,16,U,14,10,11,11
GP,STD46,F,15,U,4,10,11,11
GP,STD47,F,16,U,6,13,12,13
GP,STD48,M,16,U,2,17,17,17
GP,STD49,M,15,U,4,11,12,13
GP,STD50,F,15,U,2,13,12,12
GP,STD51,F,16,U,0,14,13,13
GP,STD52,F,15,U,0,16,14,16
GP,STD53,M,15,U,4,10,9,9
GP,STD54,F,15,U,0,13,12,12
GP,STD55,F,15,U,0,13,12,13
GP,STD56,F,16,U,2,12,13,12
GP,STD57,F,15,U,0,15,14,15
GP,STD58,M,15,U,8,15,15,16
GP,STD59,M,15,U,0,14,13,14
GP,STD60,F,16,U,2,16,15,16
GP,STD61,F,16,R,0,17,16,16
GP,STD62,F,16,U,0,10,10,16
GP,STD63,F,16,U,0,13,13,10
GP,STD64,F,16,U,0,14,13,13
GP,STD65,F,15,U,0,13,12,12
GP,STD66,F,16,U,2,16,15,16
GP,STD67,M,15,U,0,11,12,12
GP,STD68,F,16,U,0,10,9,10
GP,STD69,F,15,R,0,11,10,11
GP,STD70,F,15,R,6,15,15,15
GP,STD71,M,16,U,2,13,11,11
GP,STD72,M,15,U,0,11,9,10
GP,STD73,F,15,R,2,13,11,11
GP,STD74,M,16,U,0,13,13,14
GP,STD75,F,16,U,4,11,11,11
GP,STD76,M,15,U,0,11,11,11
GP,STD77,M,15,U,0,12,11,11
GP,STD78,F,16,U,1,13,13,13
GP,STD79,M,17,U,0,9,9,10
GP,STD80,F,16,U,14,12,11,11
GP,STD81,M,15,U,0,11,11,12
GP,STD82,M,15,U,2,10,9,9
GP,STD83,F,15,U,4,12,11,11
GP,STD84,M,15,U,2,13,12,13
GP,STD85,F,15,U,2,13,12,12
GP,STD86,F,15,U,4,12,11,12
GP,STD87,F,16,U,6,13,11,11
GP,STD88,F,15,U,4,15,15,15
GP,STD89,M,16,U,6,12,10,11
GP,STD90,M,16,U,6,9,9,10
GP,STD91,F,16,U,2,9,11,11
GP,STD92,F,15,U,6,14,13,13
GP,STD93,F,16,U,0,12,13,12
GP,STD94,F,16,U,2,13,14,14
GP,STD95,M,15,U,2,11,12,12
GP,STD96,F,15,R,4,13,13,13
GP,STD97,M,16,R,6,9,11,11
GP,STD98,F,16,U,0,13,12,12
GP,STD99,F,16,U,4,12,13,13
GP,STD100,F,16,U,2,12,13,13
GP,STD101,M,16,U,12,9,9,8
GP,STD102,M,16,U,0,16,16,16
GP,STD103,M,15,U,2,12,13,12
GP,STD104,F,15,U,16,11,10,10
GP,STD105,M,15,U,0,16,16,16
GP,STD106,F,15,U,10,10,10,10
GP,STD107,F,15,U,4,10,10,10
GP,STD108,M,16,U,4,13,14,14
GP,STD109,M,15,R,8,12,10,11
GP,STD110,F,16,U,2,15,15,14
GP,STD111,M,15,U,4,13,14,14
GP,STD112,F,16,R,4,11,11,11
GP,STD113,F,16,U,12,8,10,10
GP,STD114,M,15,U,10,18,17,18
GP,STD115,M,15,R,4,10,9,10
GP,STD116,M,16,U,6,16,14,14
GP,STD117,M,15,U,4,16,15,16
GP,STD118,M,16,U,6,14,14,15
GP,STD119,M,17,R,14,12,11,11
GP,STD120,M,15,U,2,14,13,14
GP,STD121,F,15,U,0,14,14,14
GP,STD122,M,15,U,6,14,13,13
GP,STD123,F,16,U,2,14,12,13
GP,STD124,M,16,U,4,12,13,13
GP,STD125,F,16,U,0,12,11,11
GP,STD126,M,15,U,2,9,9,9
GP,STD127,F,15,U,0,10,11,11
GP,STD128,F,19,U,0,9,10,11
GP,STD129,M,16,R,8,14,14,15
GP,STD130,M,16,U,4,13,12,13
GP,STD131,F,15,R,0,10,11,12
GP,STD132,F,18,U,10,10,9,8
GP,STD133,F,17,U,8,11,10,11
GP,STD134,F,15,U,6,11,12,13
GP,STD135,F,17,U,2,13,12,12
GP,STD136,F,16,U,12,15,13,14
GP,STD137,M,16,U,4,9,9,11
GP,STD138,F,16,U,12,13,11,11
GP,STD139,M,15,R,2,12,11,11
GP,STD140,F,15,U,4,13,14,15
GP,STD141,M,17,R,2,10,9,10
GP,STD142,F,16,R,0,14,13,13
GP,STD143,M,18,U,2,11,11,12
GP,STD144,F,18,U,10,12,11,11
GP,STD145,F,16,R,8,12,11,11
GP,STD146,F,16,U,4,9,9,10
GP,STD147,M,16,U,0,10,10,10
GP,STD148,F,15,U,6,13,14,14
GP,STD149,F,15,R,2,8,9,9
GP,STD150,M,15,U,6,9,11,11
GP,STD151,F,15,U,24,9,8,9
GP,STD152,M,16,U,0,15,13,13
GP,STD153,M,16,U,4,12,11,11
GP,STD154,F,15,U,2,13,13,13
GP,STD155,F,16,U,4,10,11,11
GP,STD156,M,17,U,22,9,7,6
GP,STD157,F,15,U,0,12,12,12
GP,STD158,F,15,U,0,11,10,10
GP,STD159,F,15,U,2,11,11,11
GP,STD160,F,15,U,6,13,12,13
GP,STD161,F,15,U,6,11,11,11
GP,STD162,M,16,U,16,9,9,8
GP,STD163,M,15,U,0,12,11,11
GP,STD164,M,18,U,0,11,9,0
GP,STD165,M,16,U,6,9,10,10
GP,STD166,F,15,R,2,13,13,13
GP,STD167,M,19,U,6,11,9,11
GP,STD168,F,17,U,0,13,13,13
